id,order,family,genus,species,common_name,discovery_year,discoverer
1,hexanchiformes,chlamydoselachidae,chlamydoselachus,chlamydoselachus africana,southern african frilled shark,ebert,
2,hexanchiformes,chlamydoselachidae,chlamydoselachus,chlamydoselachus anguineus,frilled shark,1884,garman
3,hexanchiformes,hexanchidae,heptranchias,heptranchias perlo,sharp-nose seven-gill shark,,
4,hexanchiformes,hexanchidae,hexanchus,hexanchus griseus,blunt-nose six-gill shark,1788,bonnaterre
5,hexanchiformes,hexanchidae,hexanchus,hexanchus nakamurai,big-eyed six-gill shark,teng,
6,hexanchiformes,hexanchidae,hexanchus,hexanchus vitulus,atlantic six-gill shark,springer,
7,hexanchiformes,hexanchidae,notorynchus,notorynchus cepedianus,broad-nose seven-gill shark,,
8,squaliformes,centrophoridae,centrophorus,centrophorus atromarginatus,dwarf gulper shark,1913,garman
9,squaliformes,centrophoridae,centrophorus,centrophorus granulosus,gulper shark,,
10,squaliformes,centrophoridae,centrophorus,centrophorus harrissoni,dumb gulper shark,mcculloch,
11,squaliformes,centrophoridae,centrophorus,centrophorus moluccensis,small-fin gulper shark,bleeker,
12,squaliformes,centrophoridae,centrophorus,centrophorus seychellorum,seychelles gulper shark,baranes,
13,squaliformes,centrophoridae,centrophorus,centrophorus squamosus,leaf-scale gulper shark,1788,bonnaterre
14,squaliformes,centrophoridae,centrophorus,centrophorus tessellatus,mosaic gulper shark,1906,garman
15,squaliformes,centrophoridae,centrophorus,centrophorus uyato,little gulper shark,1810,rafinesque
16,squaliformes,centrophoridae,centrophorus,centrophorus westraliensis,western gulper shark,w. t. white,
17,squaliformes,centrophoridae,centrophorus,centrophorus zeehaani,southern dogfish,2008,"w. t. white, ebert & l. j. v. compagno"
18,squaliformes,centrophoridae,centrophorus,centrophorus,mini gulper shark,not yet described,
19,squaliformes,centrophoridae,centrophorus,centrophorus,slender gulper shark,not yet described,
20,squaliformes,centrophoridae,deania,deania calcea,bird-beak dogfish,,
21,squaliformes,centrophoridae,deania,deania hystricosa,rough long-nose dogfish,1906,garman
22,squaliformes,centrophoridae,deania,deania profundorum,arrow-head dogfish,,
23,squaliformes,centrophoridae,deania,deania quadrispinosa,long-snout dogfish,1915,mcculloch
24,squaliformes,dalatiidae,dalatias,dalatias licha,kite-fin shark,1788,bonnaterre
25,squaliformes,dalatiidae,euprotomicroides,euprotomicroides zantedeschia,tail-light shark,1966,hulley & m. j. penrith
26,squaliformes,dalatiidae,euprotomicrus,euprotomicrus bispinatus,pygmy shark,,
27,squaliformes,dalatiidae,heteroscymnoides,heteroscymnoides marleyi,long-nose pygmy shark,fowler 1934,
28,squaliformes,dalatiidae,isistius,isistius brasiliensis,cookie-cutter shark,1824,quoy & gaimard
29,squaliformes,dalatiidae,isistius,isistius plutodus,large-tooth cookiecutter shark,garrick,
30,squaliformes,dalatiidae,mollisquama,mollisquama parini,pocket shark,1984,dolganov
31,squaliformes,dalatiidae,squaliolus,squaliolus aliae,small-eye pygmy shark,teng,
32,squaliformes,dalatiidae,squaliolus,squaliolus laticaudus,spined pygmy shark,1912,h. m. smith & radcliffe
33,squaliformes,echinorhinidae,echinorhinus,echinorhinus brucus,bramble shark,1788,bonnaterre
34,squaliformes,echinorhinidae,echinorhinus,echinorhinus cookei,prickly shark,pietschmann,
35,squaliformes,etmopteridae,aculeola,aculeola nigra,hook-tooth dogfish,1959,f. de buen
36,squaliformes,etmopteridae,centroscyllium,centroscyllium excelsum,high-fin dogfish,shirai,
37,squaliformes,etmopteridae,centroscyllium,centroscyllium fabricii,black dogfish,,
38,squaliformes,etmopteridae,centroscyllium,centroscyllium granulatum,granular dogfish,günther,
39,squaliformes,etmopteridae,centroscyllium,centroscyllium kamoharai,bare-skin dogfish,t. abe,
40,squaliformes,etmopteridae,centroscyllium,centroscyllium nigrum,comb-tooth dogfish,1899,garman
41,squaliformes,etmopteridae,centroscyllium,centroscyllium ornatum,ornate dogfish,,
42,squaliformes,etmopteridae,centroscyllium,centroscyllium ritteri,white-fin dogfish,d. s. jordan,
43,squaliformes,etmopteridae,etmopterus,etmopterus baxteri,new zealand lanternshark,1957,garrick
44,squaliformes,etmopteridae,etmopterus,etmopterus benchleyi,ninja lanternshark,v. e. vásquez,
45,squaliformes,etmopteridae,etmopterus,etmopterus bigelowi,blurred lanternshark,shirai &,
